날짜,소비자심리지수
2015-01-01,103.1
2015-02-01,103.8
2015-03-01,102.0
2015-04-01,104.8
2015-05-01,106.2
2015-06-01,98.8
2015-07-01,100.8
2015-08-01,102.2
2015-09-01,103.4
2015-10-01,105.9
2015-11-01,106.6
2015-12-01,103.3
2016-01-01,100.5
2016-02-01,98.3
2016-03-01,100.6
2016-04-01,102.2
2016-05-01,99.8
2016-06-01,99.3
2016-07-01,101.6
2016-08-01,102.5
2016-09-01,102.4
2016-10-01,102.7
2016-11-01,96.0
2016-12-01,94.3
2017-01-01,93.3
2017-02-01,94.5
2017-03-01,97.0
2017-04-01,101.8
2017-05-01,109.0
2017-06-01,112.3
2017-07-01,112.5
2017-08-01,111.1
2017-09-01,108.8
2017-10-01,110.3
2017-11-01,113.6
2017-12-01,112.1
2018-01-01,111.3
2018-02-01,109.6
2018-03-01,109.5
2018-04-01,108.5
2018-05-01,109.4
2018-06-01,106.8
2018-07-01,102.1
2018-08-01,100.1
2018-09-01,101.0
2018-10-01,100.2
2018-11-01,96.6
2018-12-01,97.8
2019-01-01,98.5
2019-02-01,100.6
2019-03-01,100.8
2019-04-01,102.7
2019-05-01,98.9
2019-06-01,98.6
2019-07-01,97.0
2019-08-01,93.5
2019-09-01,98.0
2019-10-01,99.7
2019-11-01,102.0
2019-12-01,101.5
2020-01-01,105.3
2020-02-01,98.0
2020-03-01,79.7
2020-04-01,72.1
2020-05-01,78.8
2020-06-01,83.1
2020-07-01,85.4
2020-08-01,89.3
2020-09-01,80.7
2020-10-01,92.7
2020-11-01,99.1
2020-12-01,91.0
2021-01-01,95.3
2021-02-01,97.4
2021-03-01,100.6
2021-04-01,102.4
2021-05-01,105.5
2021-06-01,110.8
2021-07-01,103.6
2021-08-01,102.8
2021-09-01,104.1
2021-10-01,107.3
2021-11-01,108.2
2021-12-01,104.3
2022-01-01,104.9
2022-02-01,103.5
2022-03-01,103.7
2022-04-01,104.3
2022-05-01,103.1
2022-06-01,96.8
2022-07-01,86.2
2022-08-01,89.0
2022-09-01,91.6
2022-10-01,89.0
2022-11-01,86.6
2022-12-01,90.1
2023-01-01,90.7
2023-02-01,90.2
2023-03-01,92.0
2023-04-01,95.2
2023-05-01,98.1
2023-06-01,100.8
2023-07-01,103.4
2023-08-01,103.3
2023-09-01,99.8
2023-10-01,98.2
2023-11-01,97.3
2023-12-01,99.7
2024-01-01,101.6
2024-02-01,101.9
2024-03-01,100.7
2024-04-01,100.7
2024-05-01,98.4
2024-06-01,100.9
2024-07-01,103.6
2024-08-01,100.8
2024-09-01,100.0
2024-10-01,101.8
2024-11-01,100.7
2024-12-01,88.2
