,회사명,stock_code,업종,상장주선인,공모가 (원),공모금액 (천원),최초상장주식수 (주),call,kospi,modified_esi,6개월 확약,3개월 확약,1개월 확약,15일 확약,미확약,수요예측_최종값,회사명_bs,corp_code,상장일,업력,유동자산,유동부채,부채총계,자본금,자본총계,매출액,영업이익,당기순이익,TA,WC,log_TA,log_S,capital_deficit,wc_neg_dummy,ta_negative,current_ratio,wc_sales,wc_ta,cl_tl,de_ratio,equity_ratio,cs_te,debt_asset,op_margin,net_margin,roe,roe_sign_dummy,roe_nan,roa,oi_ta,ni_oi_ratio,asset_turnover,sales_equity,z_simplified,WICS_large,우리사주조합,기관투자자,일반투자자,target_1d,target_2d,target_7d,target_15d,target_1m,target_3m,target_6m
0,바이오노트,377740,의료용품 및 기타 의약 관련제품 제조업,"한국투자증권(주),엔에이치투자증권주식회사",9000.0,"93,600,000","101,876,048",3.208,"2,356.73",94.2,0.0,7.5,0.4,0.0,92.1,3.29,바이오노트,622787,2022-12-22,20,868333,97100,202130,46778,1671964,456866,307553,447032,1874094,771233,14.44363643419893,13.032147599072957,0,0,0,8.942667353244078,1.6880945397556395,0.4115231146356586,0.4803839113441844,0.1208937513008653,0.8921452179026239,0.0279778751217131,0.1078547820973761,0.6731798820660763,0.978475088975761,0.2673693931209045,0.0,0,0.2385323254863416,0.1641075634413215,1.4535120775931305,0.2437796609988613,0.2732510987078669,7.21247721360044,건강관리,7.6,62.4,30.0,1,1,0,0,0,0,0
1,쏘카,403550,운송장비 임대업,미래에셋증권 주식회사,28000.0,"101,920,000","32,725,652",2.217,"2,462.50",99.1,0.0,0.0,0.0,7.65,92.35,56.07,쏘카,1026157,2022-08-22,12,90324,214304,360628,2908,144845,159148,-7112,-18755,505473,-123980,13.133251881896337,11.97759614931004,0,1,0,0.4214760340450948,-0.7790232990675346,-0.245275217469578,0.5942522488547756,2.489751113259001,0.2865533866299485,0.0200766336428596,0.7134466133700514,-0.0446879634051323,-0.1178462814487144,-0.1294832407055818,1.0,0,-0.0371038611360052,-0.0140699898906568,2.637092238470191,0.3148496556690466,1.0987469363802689,0.2933472186263253,산업재,7.9,67.1,25.0,0,0,0,0,0,0,0
2,수산인더스트리,126720,건물설비 설치 공사업,삼성증권(주),35000.0,"200,025,000","14,286,000",2.238,"2,452.25",99.1,3.73,5.0,9.21,2.09,79.97,130.37,수산인더스트리,193328,2022-08-01,40,181203,57589,122790,2000,283682,67049,13038,10851,406472,123614,12.915272785099846,11.113193888709825,0,0,0,3.1464863081491257,1.8436367432773049,0.3041144285461237,0.4690039905529766,0.4328438180779887,0.6979127713594049,0.0070501477005943,0.3020872286405952,0.1944548017121806,0.161836865575922,0.0382505763495745,0.0,0,0.026695565746226,0.032076010155681,0.8322595490105844,0.1649535515361451,0.2363526765885745,2.8271587694249,기타,6.3,62.8,30.0,0,0,0,0,0,0,0
3,LG에너지솔루션,373220,일차전지 및 이차전지 제조업,"KB증권(주),모건스탠리 인터내셔날증권회사 서울지점",300000.0,"12,750,000,000","234,000,000",1.201,"2,614.49",106.9,42.6,8.0,7.5,0.2,41.7,2023.37,LG에너지솔루션,1515323,2022-01-27,2,9860210,8977353,14390128,100000,9222178,13412546,692737,858057,23612306,882857,16.97727861712165,16.4117011701088,0,0,0,1.098342685199078,0.0658232225261333,0.0373896984055686,0.6238549789133216,1.5603828076187642,0.390566596926196,0.0108434254901607,0.609433403073804,0.0516484342346337,0.0639742074323547,0.0930427714581089,0.0,0,0.0363393986169754,0.0293379647036591,1.23864756754728,0.5680320253345861,1.4543794318435406,1.067068072788718,정보기술,19.2,55.0,25.8,1,1,1,1,1,1,1
4,카카오페이,377300,금융 지원 서비스업,"삼성증권(주),골드만삭스증권 서울지점,제이피모간증권회사 서울지점",90000.0,"1,530,000,000","130,367,125",0.68,"2,975.71",107.6,18.2,23.8,11.7,0.0,46.3,1714.47,카카오페이,1244601,2021-11-03,5,719588,598020,1335338,56684,245123,216323,2617,2708,1580461,121568,14.273227767324412,12.284532562790035,0,0,0,1.2032841710979565,0.561974454866103,0.0769193292336856,0.4478416700490812,5.447624253945978,0.1550958865799282,0.2312471697882287,0.8449041134200718,0.0120976502729714,0.0125183175159368,0.0110475149210804,0.0,0,0.0017134241211899,0.001655845984178,1.034772640427971,0.1368733553058253,0.8825079653888048,0.3748298041742836,정보기술,20.0,55.0,25.0,1,1,1,1,1,1,1
5,케이카,381970,자동차 판매업,"엔에이치투자증권주식회사,골드만삭스증권 서울지점",25000.0,"336,605,775","48,086,533",0.8,"2,944.41",107.6,0.0,0.0,0.0,0.0,100.0,40.0,케이카,1323032,2021-10-13,5,233528,228406,286891,23442,198053,910583,38477,26543,484944,5122,13.091790761427264,13.721841430896031,0,0,0,1.0224249800793324,0.0056249677404476,0.0105620442772773,0.7961420888072474,1.448556699469334,0.4084038569401828,0.1183622565676864,0.5915961430598172,0.0422553463001176,0.029149456996232,0.1340196816003797,0.0,0,0.0547341548714903,0.079343181893167,0.6898406840450139,1.877707529116764,4.597673350062862,1.1928023052390602,경기관련소비재,2.3,72.7,25.0,0,0,0,1,0,1,1
6,현대중공업,329180,선박 및 보트 건조업,"한국투자증권(주),CS증권 서울지점,미래에셋증권 주식회사",60000.0,"1,080,000,000","88,773,116",0.77,"3,140.51",107.4,0.0,0.0,0.0,0.0,100.0,1835.87,현대중공업,1390344,2021-09-17,2,7771788,6238737,8944514,353865,5553594,6315727,101457,-67597,14498108,1533051,16.489528785093082,15.658553588199178,0,0,0,1.2457309868968671,0.2427354760584173,0.1057414526088507,0.6974931226000652,1.6105811840044484,0.3830564650228844,0.0637181976212161,0.6169435349771156,0.0160641839015524,-0.0107029642034875,-0.0121717576041748,1.0,0,-0.0046624704409706,0.0069979475942654,-0.6662625545797727,0.4356242207603916,1.1372323940136784,1.0246276145241031,산업재,19.4,55.0,25.6,1,1,1,1,1,1,1
7,일진하이솔루스,271940,그외 기타 운송장비 제조업,"미래에셋증권 주식회사,삼성증권(주)",34300.0,"373,663,857","36,313,190",0.83,"3,207.02",107.4,24.0,28.5,15.5,9.6,22.40000000000001,1471.04,일진하이솔루스,972503,2021-09-01,10,61739,36107,40141,14525,58239,57468,6269,5021,98380,25632,11.496602974965286,10.95900095096759,0,0,0,1.7098900490209654,0.4460221340572144,0.2605407603171376,0.8995042475274657,0.6892460378783977,0.5919800772514738,0.2494033207987774,0.4080199227485261,0.1090867961300201,0.0873703626365977,0.0862137055924723,0.0,0,0.0510367960967676,0.0637223012807481,0.8009251874302121,0.5841431185200244,0.9867614485138824,2.0155225283862794,경기관련소비재,3.1,66.9,30.0,1,1,1,1,1,1,1
8,아주스틸,139990,1차 철강 제조업,미래에셋증권 주식회사,15100.0,"104,756,250","26,452,189",0.5,"3,060.51",107.0,7.7,5.6,5.7,1.8000000000000005,79.2,1776.9,아주스틸,486705,2021-08-20,23,241255,223289,287333,11226,153905,174043,14477,12121,441238,17966,12.997341957740437,12.067063419792754,0,0,0,1.0804607481783697,0.1032273633527346,0.0407172546335537,0.7771087901494085,1.8669503914752608,0.3488026869852551,0.0729411000292388,0.6511973130147449,0.0831805933016553,0.069643708738645,0.0787563756862999,0.0,0,0.0274704354566016,0.0328099574379359,0.8372591006423983,0.3944424550922631,1.130846951041227,0.9312181777085412,소재,10.83,59.17,30.00,1,1,1,1,1,1,1
9,롯데렌탈,89860,운송장비 임대업,"한국투자증권(주),엔에이치투자증권주식회사",59000.0,"850,898,000","36,634,063",0.51,"3,097.83",107.0,0.0,0.0,0.0,0.0,100.0,217.63,롯데렌탈,545716,2021-08-19,17,1439576,2205646,5000369,183170,1222312,1808614,183181,84850,6222681,-766070,15.643711561490404,14.408071916961964,0,1,0,0.6526777189086553,-0.4235674389339018,-0.1231093157434874,0.4410966470674464,4.090910504028432,0.1964285169045303,0.1498553560792989,0.8035714830954697,0.1012825290526336,0.0469143775288701,0.0694176282323989,0.0,0,0.0136356017607201,0.0294376330716615,0.4632030614528799,0.2906486769930838,1.479666402686057,0.3298693384315799,산업재,8.6,61.4,30.0,0,0,0,0,0,0,0
10,한컴라이프케어,372910,의료용 기기 제조업,미래에셋증권 주식회사,13700.0,"113,741,798","27,674,406",0.51,"3,143.09",107.0,0.0,0.1,1.1,0.1,98.7,418.99,한컴라이프케어,534598,2021-08-17,26,87077,93007,136430,3938,40392,22456,3314,2380,176822,-5930,12.082904511222385,10.01935764857854,0,1,0,0.9362413581773414,-0.2640719629497684,-0.0335365508816776,0.6817195631459356,3.377649039413745,0.2284331135265973,0.0974945533769063,0.7715668864734027,0.1475774848592803,0.1059850374064838,0.0589225589225589,0.0,0,0.0134598635916345,0.0187420117406205,0.7181653590826795,0.126997771770481,0.5559516735987324,0.4878701078282466,건강관리,-,75,25,0,0,0,0,0,0,0
11,크래프톤,259960,소프트웨어 개발 및 공급업,미래에셋증권 주식회사,498000.0,"4,309,806,540","48,898,070",0.51,"3,243.19",107.0,3.7000000000000006,23.8,16.9,0.5,55.1,243.15,크래프톤,760971,2021-08-10,15,1440578,509714,676633,4279,1421055,460993,227178,194018,2097688,930864,14.556346820534642,13.041140306709703,0,0,0,2.8262476604527245,2.019258426917545,0.4437571268939899,0.7533094011081339,0.4761483545675572,0.6774386848759205,0.0030111431295762,0.3225613151240795,0.4928014091320258,0.4208697312106691,0.1365309576335891,0.0,0,0.0924913523841486,0.1082992322976534,0.8540351618554614,0.219762424154593,0.3244019408115801,3.095565830576799,커뮤니케이션서비스,4.1,65.9,30.0,0,0,0,0,0,0,0
12,에스디바이오센서,137310,의료용 기기 제조업,"한국투자증권(주),엔에이치투자증권주식회사",52000.0,"776,380,800","103,271,353",0.56,"3,276.91",106.3,1.9,7.3,19.0,3.3000000000000003,68.5,1143.76,에스디바이오센서,854997,2021-07-16,12,1648494,666486,680968,46659,1151424,1179116,576315,437547,1832392,982008,14.421133320860818,13.9802764112371,0,0,0,2.473411294460799,0.8328340892668745,0.5359158957253688,0.9787332150703116,0.5914137624367739,0.6283720950538968,0.0405228655994664,0.3716279049461032,0.4887687046906326,0.371080538301575,0.3800051067200267,0.0,0,0.2387846050408427,0.3145151255844819,0.7592150126233049,0.6434845819016891,1.0240502195542216,3.5395892657452537,건강관리,2.5,67.5,30.0,1,1,1,1,1,0,0
13,SK아이이테크놀로지,361610,일차전지 및 이차전지 제조업,"미래에셋증권 주식회사,제이피모간증권회사 서울지점",105000.0,"2,245,950,000","71,297,592",0.47,"3,209.43",103.8,24.9,17.2,22.2,0.3,35.400000000000006,1882.88,SK아이이테크놀로지,1386916,2021-05-11,2,566775,272644,783378,62741,1208250,469309,125218,88162,1991628,294131,14.50446345480101,13.059018809887048,0,0,0,2.078809729904197,0.6267320677847644,0.1476837039848807,0.3480363247372277,0.6483575418994414,0.6066644975868988,0.0519271673908545,0.3933355024131012,0.2668135492820295,0.1878549100912192,0.0729666873577488,0.0,0,0.044266298726469,0.0628721829578616,0.7040681052244885,0.2356408927771652,0.3884204427891579,2.1153409454253023,정보기술,13.2,56.8,30.0,1,1,1,1,1,1,1
14,SK바이오사이언스,302440,기초 의약물질 제조업,엔에이치투자증권주식회사,65000.0,"1,491,750,000","76,500,000",0.48,"3,066.01",99.6,31.28,26.39,24.71,2.89,14.730000000000004,1275.47,SK바이오사이언스,1319899,2021-03-18,3,293144,147237,272396,10200,253456,158602,26799,23011,525852,145907,13.17277698498087,11.974159503514707,0,0,0,1.9909669444501044,0.919956873179405,0.2774678046294395,0.5405255583782435,1.0747269743071777,0.4819911305842708,0.040243671485386,0.5180088694157291,0.16897012648012,0.1450864427939118,0.0907889337794331,0.0,0,0.0437594608368894,0.0509630086031811,0.8586514422179932,0.3016095783604512,0.6257575279338425,1.7070522726754307,건강관리,19.57,55.00,25.43,1,1,1,1,1,1,1
15,솔루엠,248070,전자부품 제조업,"미래에셋증권 주식회사,KB증권(주)",17000.0,"108,800,000","42,508,362",0.47,"3,096.81",96.9,4.41,8.33,17.35,3.05,66.86,1167.55,솔루엠,1159233,2021-02-02,6,406036,381200,402908,19966,115759,812097,45766,33957,518667,24836,13.159019265743147,13.607376301516576,0,0,0,1.065152151101784,0.0305825535619513,0.0478842879921028,0.9461216952753482,3.4805760243264023,0.2231855892123462,0.1724790297082732,0.7768144107876538,0.0563553368624684,0.041813970498598,0.2933422023341597,0.0,0,0.0654697522687967,0.0882377324950305,0.7419700214132763,1.5657387109648386,7.015411328708783,0.7795979794661725,정보기술,20.00,60.00,20.00,1,1,1,1,1,1,1
