회사명,상장일,regime
바이오노트,2022-12,1
쏘카,2022-08,1
수산인더스트리,2022-08,1
LG에너지솔루션,2022-01,1
카카오페이,2021-11,0
케이카,2021-10,0
현대중공업,2021-09,0
일진하이솔루스,2021-09,0
아주스틸,2021-08,0
롯데렌탈,2021-08,0
한컴라이프케어,2021-08,0
크래프톤,2021-08,0
에스디바이오센서,2021-07,0
SK아이이테크놀로지,2021-05,0
SK바이오사이언스,2021-03,0
솔루엠,2021-02,0
명신산업,2020-12,0
에이플러스에셋,2020-11,0
교촌에프앤비,2020-11,0
빅히트,2020-10,0
에스케이바이오팜,2020-07,0
센트랄모텍,2019-11,0
현대에너지솔루션,2019-11,0
한화시스템,2019-11,0
자이에스앤디,2019-11,0
지누스,2019-10,0
현대오토에버,2019-03,0
드림텍,2019-03,0
에어부산,2018-12,1
아시아나IDT,2018-11,1
하나제약,2018-10,1
우진아이엔에스,2018-09,1
티웨이항공,2018-08,1
롯데정보통신,2018-07,1
애경산업,2018-03,1
동양피스톤,2017-12,1
진에어,2017-12,1
삼양패키징,2017-11,1
테이팩스,2017-10,1
넷마블게임즈,2017-05,1
덴티움,2017-03,1
호전실업,2017-02,1
핸즈코퍼레이션,2016-12,1
두산밥캣,2016-11,0
삼성바이오로직스,2016-11,0
JW생명과학,2016-10,0
화승엔터프라이즈,2016-10,0
엘에스전선 아시아,2016-09,0
두올,2016-07,0
해성디에스,2016-06,0
용평리조트,2016-05,0
해태제과식품,2016-05,0
대림씨엔에스,2016-03,0
제이에스코퍼레이션,2016-02,0
코리아오토글라스,2015-12,0
잇츠스킨,2015-12,0
세진중공업,2015-11,0
금호에이치티,2015-11,0
제주항공,2015-11,0
LIG넥스원,2015-10,0
동일제강,2015-09,0
아이콘트롤스,2015-09,0
AJ네트웍스,2015-08,0
이노션,2015-07,0
토니모리,2015-07,0
경보제약,2015-06,0
에스케이디앤디,2015-06,0
엔에스쇼핑,2015-03,0
세화아이엠씨,2015-03,0
큐라티스,2023-06,1
마녀공장,2023-06,1
나라셀라,2023-06,1
진영,2023-06,1
기가비스,2023-05,1
씨유박스,2023-05,1
모니터랩,2023-05,1
트루엔,2023-05,1
에스바이오메딕스,2023-05,1
마이크로투나노,2023-04,1
지아이이노베이션,2023-03,1
LB인베스트먼트,2023-03,1
금양그린파워,2023-03,1
자람테크놀로지,2023-03,1
나노팀,2023-03,1
바이오인프라,2023-03,1
제이오,2023-02,1
샌즈랩,2023-02,1
꿈비,2023-02,1
스튜디오미르,2023-02,1
삼기이브이,2023-02,1
오브젠,2023-01,1
미래반도체,2023-01,1
한주라이트메탈,2023-01,1
티이엠씨,2023-01,1
SAMG엔터,2022-12,1
펨트론,2022-11,1
인벤티지랩,2022-11,1
엔젯,2022-11,1
티쓰리,2022-11,1
티에프이,2022-11,1
윤성에프앤씨,2022-11,1
디티앤씨알오,2022-11,1
뉴로메카,2022-11,1
제이아이테크,2022-11,1
큐알티,2022-11,1
저스템,2022-10,1
산돌,2022-10,1
플라즈맵,2022-10,1
핀텔,2022-10,1
샤페론,2022-10,1
탑머티리얼,2022-10,1
에스비비테크,2022-10,1
오에스피,2022-10,1
이노룰스,2022-10,1
모델솔루션,2022-10,1
더블유씨피,2022-09,1
알피바이오,2022-09,1
오픈엣지테크놀로지,2022-09,1
대성하이텍,2022-08,1
에이치와이티씨,2022-08,1
새빗켐,2022-08,1
아이씨에이치,2022-07,1
성일하이텍,2022-07,1
에이프릴바이오,2022-07,1
루닛,2022-07,1
HPSP,2022-07,1
영창케미칼,2022-07,1
코난테크놀로지,2022-07,1
넥스트칩,2022-07,1
보로노이,2022-06,1
레이저쎌,2022-06,1
위니아에이드,2022-06,1
범한퓨얼셀,2022-06,1
청담글로벌,2022-06,1
가온칩스,2022-05,1
대명에너지,2022-05,1
포바이포,2022-04,1
지투파워,2022-04,1
세아메카닉스,2022-03,1
