회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
엠앤씨솔루션,484870,2024-12-16,신규상장,주권,특수 목적용 기계 제조업,대한민국,KB증권(주),100,"65,000","156,000,000",방위산업용 유압식/전기식 부품 및 시스템,"9,153,900"
더본코리아,475560,2024-11-06,신규상장,주권,상품 종합 도매업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사",500,"34,000","102,000,000",프랜차이즈,"14,466,030"
전진건설로봇,079900,2024-08-19,신규상장,주권,특수 목적용 기계 제조업,대한민국,미래에셋증권 주식회사,500,"16,500","50,781,225",콘크리트 펌프카,"15,360,574"
산일전기,062040,2024-07-29,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,미래에셋증권 주식회사,500,"35,000","266,000,000","유입, 몰드, 주상, 건식 변압기 등","30,445,200"
시프트업,462870,2024-07-11,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,"한국투자증권(주),제이피모간증권회사 서울지점,엔에이치투자증권주식회사",200,"60,000","435,000,000",게임 소프트웨어,"58,025,720"
신한글로벌액티브리츠,481850,2024-07-01,신규상장,부동산투자회사,신탁업 및 집합투자업,대한민국,"신한투자증권 주식회사,한국투자증권(주)","1,000","3,000","70,000,002",신탁 및 집합투자,"43,477,664"
HD현대마린솔루션,443060,2024-05-08,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",대한민국,"신한투자증권 주식회사,하나증권주식회사,유비에스증권 리미티드 서울지점,CS증권 서울지점,제이피모간증권회사 서울지점,KB증권(주)",500,"83,400","742,260,000","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어","44,450,000"
에이피알,278470,2024-02-27,신규상장,주권,기타 화학제품 제조업,대한민국,"신한투자증권 주식회사,하나증권주식회사",500,"250,000","94,750,000","화장품, 피부미용기기 등","7,584,378"
DS단석,017860,2023-12-22,신규상장,주권,기타 화학제품 제조업,대한민국,"엔에이치투자증권주식회사,KB증권(주)",500,"100,000","122,000,000",바이오에너지,"5,861,404"
동인기연,111380,2023-11-21,신규상장,주권,"가죽, 가방 및 유사제품 제조업",대한민국,엔에이치투자증권주식회사,100,"30,000","44,112,000","스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대","6,128,000"
